,Title,Published_date,views,Likes,Dislikes,Comments,Month
319,One Direction - Little Things - 3 Days To Go,2012-10-30,891554,34427,0,1931,Oct
320,One Direction - Little Things - 4 Days To Go,2012-10-29,1352573,41942,0,3302,Oct
321,One Direction - Little Things (Lyric Video),2012-10-29,45430940,575159,0,127357,Oct
322,One Direction - Live While We're Young (Behind The Scenes),2012-10-05,16426308,351524,0,21079,Oct
323,One Direction - Live While We're Young,2012-09-20,729972472,4631269,0,540029,Sep
324,Access 1D: USA (Part1),2012-07-13,4864015,116399,0,16189,Jul
325,Message to UK fans!,2012-06-15,562981,13893,0,2808,Jun
326,1D: 'Up All Night - The Live Tour' DVD OUT NOW!,2012-06-15,338312,8657,0,878,Jun
327,One Direction - Vevo GO Shows: Behind The Scenes,2012-05-24,1572517,31324,0,2641,May
328,One Direction - Vevo GO Shows: What Makes You Beautiful,2012-05-24,10996559,145460,0,19334,May
329,"One Direction - Video Diary, Pt. 6 (VEVO LIFT)",2012-05-12,2244186,41081,0,3420,May
330,One Direction - More Than This (Up All Night: The Live Tour),2012-05-10,147506424,1236949,0,92070,May
331,"One Direction - One Direction in America, Ep.6 (VEVO LIFT)",2012-05-08,2280997,39257,0,7056,May
332,"One Direction - One Direction in America, Ep. 5 (VEVO LIFT)",2012-05-04,2365636,43232,0,3518,May
333,Up All Night - The Live Tour DVD: Behind The Scenes,2012-04-25,1539576,23827,0,2514,Apr
334,"One Direction, Vevo - Video Diary, Pt. 5 (VEVO LIFT)",2012-04-24,1506584,26723,0,3229,Apr
335,One Direction - What Makes You Beautiful (VEVO LIFT),2012-04-20,21320676,252158,0,16374,Apr
336,One Direction - One Thing (VEVO LIFT),2012-04-20,6603722,98767,0,5931,Apr
337,One Direction - More Than This (VEVO LIFT),2012-04-20,8526658,131382,0,12265,Apr
338,One Direction - Up All Night (VEVO LIFT),2012-04-20,31595728,257841,0,18300,Apr
339,"One Direction - One Direction in America, Ep. 4 (VEVO LIFT)",2012-04-17,1736893,34208,0,3243,Apr
340,"One Direction - Video Diary, Pt. 4 (VEVO LIFT)",2012-04-17,1769781,46511,0,3431,Apr
341,One Direction - Liam Interview (VEVO LIFT),2012-04-13,1294098,30100,0,2470,Apr
342,One Direction - Harry Interview (VEVO LIFT),2012-04-06,3722579,63167,0,6798,Apr
343,"One Direction - One Direction in America, Ep. 3 (VEVO LIFT)",2012-04-03,2903387,53337,0,2740,Apr
344,"One Direction - Video Diary, Pt. 3 (VEVO LIFT)",2012-04-03,1662841,47680,0,1452,Apr
345,One Direction - Zayn Interview (VEVO LIFT),2012-03-30,3129632,53923,0,4334,Mar
346,"One Direction - Video Diary, Pt. 2 (VEVO LIFT)",2012-03-27,3291383,128723,0,7131,Mar
347,One Direction - Louis Interview (VEVO LIFT),2012-03-23,1798377,40655,0,2829,Mar
348,1D Mania in the USA,2012-03-21,569564,12643,0,1646,Mar
349,"One Direction - One Direction in America, Ep. 2 (VEVO LIFT)",2012-03-21,2408862,37502,0,5443,Mar
350,One Direction - Spin the Harry (Episode 2),2012-03-19,6921640,239496,0,17855,Mar
351,One Direction - ASK:REPLY (VEVO LIFT),2012-03-18,1195810,29497,0,4253,Mar
352,One Direction - Niall Interview (VEVO LIFT),2012-03-16,2122404,50455,0,4459,Mar
353,"Happy ""Up All Night"" US Release Day!",2012-03-13,403324,9169,0,1439,Mar
354,"One Direction - One Direction in America, Ep. 1 (VEVO LIFT)",2012-03-13,2554737,39869,0,2832,Mar
355,"One Direction - Video Diary, Pt. 1 (VEVO LIFT)",2012-03-13,2147045,48235,0,3013,Mar
356,One Direction - What Makes You Beautiful (Live),2012-03-09,33692505,420172,0,19133,Mar
357,One Direction - Get To Know One Direction (VEVO LIFT),2012-03-09,1335610,25240,0,1773,Mar
358,One Direction - One Direction Interview (VEVO LIFT),2012-03-09,3785569,56701,0,4911,Mar
359,One Direction Mania,2012-03-05,557330,16055,0,1994,Mar
360,One Direction US Tour Diary: Albany,2012-03-03,763365,12640,0,1109,Mar
361,One Direction - Spin the Harry (Episode 1),2012-03-02,12676274,411808,0,25076,Mar
362,1D: Thanks a million...3 million!,2012-03-02,668604,17506,0,2437,Mar
363,One Direction: US Tour Diary (Chicago),2012-02-28,636025,11907,0,1002,Feb
364,One Direction - Thank You x,2012-02-22,614338,18393,0,1786,Feb
365,One Direction - What Makes You Beautiful (Behind the Scenes),2012-02-21,9926287,109023,0,8290,Feb
366,One Direction: Harry's Birthday Thank You,2012-02-10,608619,14592,0,1296,Feb
367,One Direction - Happy Valentine's Day!,2012-02-03,757463,19012,0,1077,Feb
368,One Direction - Video Diary (Part 4),2012-02-01,11364248,242075,0,42914,Feb
369,One Direction - One Thing (Behind the Scenes),2012-01-26,8803521,184647,0,11659,Jan
370,One Direction - Video Diary 3,2012-01-19,7546355,195367,0,30620,Jan
371,One Direction - One Thing,2012-01-13,777436652,4877900,0,451414,Jan
372,One Direction - One Thing - 2 Days To Go,2012-01-13,400484,6965,0,212,Jan
373,One Direction - One Thing - 2 Days To Go,2012-01-13,933697,8917,0,549,Jan
374,One Direction - One Thing - 1 Day To Go,2012-01-12,251690,6124,0,172,Jan
375,One Direction - One Thing - 1 Day To Go,2012-01-12,141730,6353,0,301,Jan
376,One Direction - One Thing - 3 Days To Go,2012-01-10,826039,15003,0,2151,Jan
377,One Direction - MEGAMIND (Pt 2),2012-01-09,2727370,81203,0,7804,Jan
378,One Direction - Video Tour Diary.,2012-01-05,4893737,118711,0,29600,Jan
379,One Direction - MEGAMIND (Pt 1),2011-12-22,3248922,100298,0,7188,Dec
380,One Direction  - Video Diary,2011-12-22,9716770,259422,0,44553,Dec
381,One Direction - #1DAdvert,2011-12-09,291333,8493,0,624,Dec
382,One Direction - Super Pokemon Rumble (Behind the Scenes),2011-12-07,5132667,102765,0,5657,Dec
383,One Direction - One Thing (Acoustic Video),2011-12-06,53484307,640371,0,75103,Dec
384,One Direction - Super Pokemon Rumble,2011-12-01,446029,10739,0,469,Dec
385,Save The 1Day Best Bits Video,2011-11-21,285442,7694,0,307,Nov
386,One Direction - Up All Night Listening Party (Part 1),2011-11-18,1167132,20352,0,2181,Nov
387,One Direction - Up All Night Listening Party (Part 3),2011-11-18,626602,15311,0,2317,Nov
388,One Direction - Up All Night Listening Party (Part 2),2011-11-18,792325,17628,0,3043,Nov
389,One Direction TV Ad -- Up All Night.,2011-11-18,575598,11755,0,688,Nov
390,The Directioners are getting ever closer to #Savingthe1Day,2011-11-14,230013,10008,0,1008,Nov
391,One Direction wishes 1DCyberpunk a happy birthday,2011-11-11,351786,10477,0,754,Nov
392,One Direction - Gotta Be You (Fan Remix),2011-11-10,322909,9684,0,1003,Nov
393,One Direction - Gotta Be You,2011-11-08,245496272,1749392,0,185138,Nov
394,One Direction - What Makes You Beautiful (Behind The Scenes),2011-11-04,21333363,372347,0,20963,Nov
395,The Directioners are still #Savingthe1Day!,2011-11-04,622308,17924,0,1063,Nov
396,One Direction - Gotta Be You (Outtakes),2011-11-01,691770,17943,0,1402,Nov
397,The Directioners are #Savingthe1Day,2011-10-28,582713,19573,0,1356,Oct
398,One Direction by One Direction,2011-10-24,7395110,440809,0,14736,Oct
399,One Direction: Behind The Scenes Photoshoot,2011-10-20,2863824,83882,0,6457,Oct
400,One Direction become...ONE DIRECTION DETECTION!!!,2011-10-11,2368870,90275,0,4239,Oct
401,One Direction lose their laptop!,2011-10-10,583784,16262,0,1234,Oct
402,One Direction: Lakeside Book Signing,2011-09-21,775501,21367,0,1625,Sep
403,One Direction - What Makes You Beautiful (Signings),2011-09-20,3259647,61657,0,2735,Sep
404,One Direction - Thank You,2011-09-18,329969,14534,0,762,Sep
405,One Direction - Dare To Dream Book (Photoshoot),2011-08-31,1860937,47204,0,2627,Aug
406,One Direction - Thank you to all UK fans!,2011-08-22,428290,15774,0,957,Aug
407,One Direction - What Makes You Beautiful (Official Video),2011-08-19,1466413443,11555598,0,1161153,Aug
408,One Direction - What Makes You Beautiful Teaser 5 (1 Day To Go),2011-08-18,5415623,38528,0,5158,Aug
409,One Direction - What Makes You Beautiful Teaser 4 (2 Days To Go),2011-08-17,1665421,29729,0,1845,Aug
410,One Direction - What Makes You Beautiful Teaser 3 (3 Days To Go),2011-08-16,1506582,25784,0,917,Aug
411,One Direction - What Makes You Beautiful Teaser 2 (4 Days To Go),2011-08-15,2098816,32604,0,1892,Aug
412,One Direction - What Makes You Beautiful Teaser 1 (5 Days To Go),2011-08-14,2122993,35900,0,2299,Aug
413,One Direction - What Makes You Beautiful (Lyric Video),2011-08-10,45095081,330006,0,28291,Aug
414,One Direction: Alan Carr's Chatty Man (Behind The Scenes),2011-08-04,1218201,25627,0,1857,Aug
415,One Direction: Q&A (Part 2),2011-04-14,1721649,64993,0,3447,Apr
416,One Direction: Q&A (Part 1),2011-04-14,2069401,80725,0,3794,Apr
417,One Direction: X Factor Tour Q&A,2011-04-13,1276824,57844,0,2998,Apr
418,One Direction Tour Video - The 02,2011-03-22,2080685,76548,0,3604,Mar
419,One Direction: X Factor Live Tour (Video Diary),2011-03-09,534610,21061,0,945,Mar
420,One Direction Book Signing - Lakeside,2011-03-07,285175,13341,0,468,Mar
421,One Direction: Tour Video (Week 1),2011-02-24,1114083,35296,0,1681,Feb
422,One Direction - Birmingham Book Signing,2011-02-22,456471,25512,0,967,Feb
423,Welcome to our YouTube Channel!,2011-02-18,2366732,320384,0,17108,Feb
